sheet,row,run,role,case,profile,teacher_seed,student_seed,teacher_updates,horizon,selection,step,HQNR,ERGAS,D_lambda,D_s,signed_Ds_positive_fraction,checkpoint_sha256
GF2-s4,18,L100I1_GF2_T_S4_TS94002_C100_P0_W112_D123_FRESH100K_v2,T,L100I1-T03,C100,94002,,100000,100000,MID50_OF100,50000,0.9321296001643269,0.5713454542793099,0.02753730684134851,0.04146342897918255,1,94eae449561eac9bc72bb4c2442dc4d2afef098e82fc39074083baf606082353
GF2-s4,18,L100I1_GF2_T_S4_TS94002_C100_P0_W112_D123_FRESH100K_v2,T,L100I1-T03,C100,94002,,100000,100000,E_MIN_DIAG,80800,0.9367353870080409,0.5569072085637575,0.026741490896623577,0.037514299887794304,1,9bb57b448f59a546b7dc45456e44d8b7eae197602252a21041566d23a3dcf93c
GF2-s5,21,L100I1_GF2_S_S5_R100_TS94003_SS95001_BASE_PLH_W104_D122_FRESH100K_v2,S,L100I1-S11,BASE,94003,95001,100000,100000,EXACT_FINAL,100000,0.9477158655192861,0.5506210932237942,0.020819100190009182,0.03210141414050607,1,40753274f8b586d4caeff839b3396cb89db832fd68fff528548c6fa4e2b29b31
GF2-s5,21,L100I1_GF2_S_S5_R100_TS94003_SS95001_BASE_PLH_W104_D122_FRESH100K_v2,S,L100I1-S11,BASE,94003,95001,100000,100000,RR_VAL_SELECTED,98980,0.9476906588499355,0.550678126640527,0.020824270416505457,0.03212201032854543,1,46b46d258fda5b4e9bb625202363de2414c8f3733415d043e3e320cb2571d99d
GF2-s5,21,L100I1_GF2_S_S5_R100_TS94003_SS95001_BASE_PLH_W104_D122_FRESH100K_v2,S,L100I1-S11,BASE,94003,95001,100000,100000,RAW_MAX,78780,0.9486537074916418,0.5516377586175152,0.021055972051920873,0.030909227506933416,1,bd8caeaeff82368d04a9755e699ae531810fd2c8c045df6866a13dcfa9f3dec9
GF2-s5,21,L100I1_GF2_S_S5_R100_TS94003_SS95001_BASE_PLH_W104_D122_FRESH100K_v2,S,L100I1-S11,BASE,94003,95001,100000,100000,MID50_OF100,50000,0.9469230165838075,0.5731578251318236,0.02087528201051559,0.03285256229438468,1,e263663911a1d3059e5c781bc3d5fac87da4bb7678469cb5f61882148e204b4c
GF2-s5,21,L100I1_GF2_S_S5_R100_TS94003_SS95001_BASE_PLH_W104_D122_FRESH100K_v2,S,L100I1-S11,BASE,94003,95001,100000,100000,E_MIN_DIAG,80800,0.9484536384540888,0.5480603773015632,0.020678312777633896,0.03148563062281444,1,901709ea353b4d03a3cb72aaf1a945e34426a8ff53b4e36c8028088a03d3189d
GF2-s5,22,L100I1_GF2_S_S5_R100_TS94003_SS95001_E1_PLH_W104_D122_FRESH100K_v2,S,L100I1-S12,E1,94003,95001,100000,100000,EXACT_FINAL,100000,0.947044256723452,0.5521410654664031,0.020243327099331344,0.033358852782233675,1,6605f5536b6b907cbda2fb61cd7af28615e4cd0d05a9e4aa7eb4c88bffe62b77
GF2-s5,22,L100I1_GF2_S_S5_R100_TS94003_SS95001_E1_PLH_W104_D122_FRESH100K_v2,S,L100I1-S12,E1,94003,95001,100000,100000,RR_VAL_SELECTED,98980,0.9470003625706417,0.5521319289285406,0.02024768073305876,0.03339939116055204,1,0b8d58b5ba948d0d09799ab079a913df1c560b417123d5d3b650006e2be0ead1
GF2-s5,22,L100I1_GF2_S_S5_R100_TS94003_SS95001_E1_PLH_W104_D122_FRESH100K_v2,S,L100I1-S12,E1,94003,95001,100000,100000,RAW_MAX,42420,0.9486301389772306,0.5672609231383527,0.020335389273374988,0.0316471458071471,1,4032ca89e94217165c2aec95e62b51ebeb9e9fd330c539bec79c0dfff4e1c83f
GF2-s5,22,L100I1_GF2_S_S5_R100_TS94003_SS95001_E1_PLH_W104_D122_FRESH100K_v2,S,L100I1-S12,E1,94003,95001,100000,100000,MID50_OF100,50000,0.944230857514405,0.5750913779119415,0.020469938014990623,0.03600076794140963,1,62ff3dec8ce4f3e09d7cc775076a7d429607d45a268a4ddcfcaa5a06bd319830
GF2-s5,22,L100I1_GF2_S_S5_R100_TS94003_SS95001_E1_PLH_W104_D122_FRESH100K_v2,S,L100I1-S12,E1,94003,95001,100000,100000,E_MIN_DIAG,66660,0.9462797578113331,0.5493897020690167,0.020436170545700443,0.033943389640025065,1,13da134c7b83751cae650428223e8b16fcfacc1a14f78841556a0e592692987b
GF2-s5,23,L100I1_GF2_S_S5_R100_TS94003_SS95002_E1_PLH_W104_D122_FRESH100K_v2,S,L100I1-S13,E1,94003,95002,100000,100000,EXACT_FINAL,100000,0.9510715521050134,0.5505142192143389,0.020509466918206258,0.028997794568531722,1,1bafc5cc775ee4ef9632bbe9ae354f66d7ccd50154f089e5d6fd4ad92d2ae214
GF2-s5,23,L100I1_GF2_S_S5_R100_TS94003_SS95002_E1_PLH_W104_D122_FRESH100K_v2,S,L100I1-S13,E1,94003,95002,100000,100000,RR_VAL_SELECTED,98980,0.9510621826752891,0.550479583610739,0.02050713271633106,0.02900963417044609,1,a7e0351092cca1a461df4dcb4f193947e970702ff287f70742d8ca96a44f8a6d
GF2-s5,23,L100I1_GF2_S_S5_R100_TS94003_SS95002_E1_PLH_W104_D122_FRESH100K_v2,S,L100I1-S13,E1,94003,95002,100000,100000,RAW_MAX,88880,0.9512757696153002,0.5548138540844342,0.020544295190499502,0.028754914688481993,1,027600e2eca78f448e8a8fee0f8e2cf73032c3b4b826e11a675fbc7217b97e04
GF2-s5,23,L100I1_GF2_S_S5_R100_TS94003_SS95002_E1_PLH_W104_D122_FRESH100K_v2,S,L100I1-S13,E1,94003,95002,100000,100000,MID50_OF100,50000,0.9465760994077618,0.5612665454956562,0.020820517357714508,0.033272103334635116,1,005cd73fd17a1886fea3172b9fbbcdf179b8eec95865ec183621070c1ce7afcd
GF2-s5,23,L100I1_GF2_S_S5_R100_TS94003_SS95002_E1_PLH_W104_D122_FRESH100K_v2,S,L100I1-S13,E1,94003,95002,100000,100000,E_MIN_DIAG,98980,0.9510621826752891,0.550479583610739,0.02050713271633106,0.02900963417044609,1,a7e0351092cca1a461df4dcb4f193947e970702ff287f70742d8ca96a44f8a6d
